_id,Year,RoadAccidents,AccidentsPerLakhPopulation,Accidentsper10000Vehicles,PersonsKilled,PersonsKilledPerLakhPopulation,PersonsKilledper10000Vehicles ,PersonsInjured,InjuryPerLakhPopulation,RoadAccidentsPer10000Vehicles,InjuryPer10000KmOfRoads
Andhra Pradesh,2017, ,28.7,26.7,8060,9.1,8.4,27475,30.85865109,24.36640187,1329.150122
Arunachal Pradesh,2017, ,18,13.4,110,8.3,6.1,316,23.81311228,17.95751352,87.23743591
Assam,2017, ,21.6,23.7,2783,8.5,9.2,6163,18.78390735,24.35066275,218.3390218
Bihar,2017, ,8.3,14.2,5554,5.3,8.9,6014,5.724130054,10.69333441,318.732481
Chhattisgarh,2017, ,51.2,25.9,4136,15.8,7.9,12550,47.92637287,24.25586109,1299.510095
Goa,2017,  ,189.4,31.6,328,16.2,2.6,1922,95.00741473,12.50561097,929.8253988
Gujarat,2017, ,29.7,8.7,7289,11.5,3.3,16802,26.44651514,7.926380817,965.4190617
Haryana,2017, ,39.8,12,5120,18.4,5.5,10339,37.09989953,10.69329589,1231.171493
Himachal Pradesh,2017, ,43.2,23,1203,16.8,8.9,5452,76.24108516,40.94225453,883.7463586
Jammu and Kashmir,2017, ,44.4,37.2,926,7.4,6.1,7419,59.13909924,51.92458525,1237.662032
Jharkhand,2017, ,15.1,15.4,3256,9.6,9.6,3918,11.50019079,11.74178009,568.9094302
Karnataka,2017, ,67.1,23.8,10609,16.9,5.9,52961,84.18266785,28.85174616,1428.146558
Kerala,2017, ,106.7,34,4131,11.5,3.7,42671,118.9501854,40.21755238,1889.654684
Madhya Pradesh,2017, ,66.7,40.5,10177,12.9,7.7,57532,72.85851781,41.41414509,1595.253414
Maharashtra,2017, ,29.2,11.9,12264,10.1,4.1,32128,26.44083977,10.37988046,502.6664858
Manipur,2017, ,21.8,17,136,5.2,4,1027,39.21344024,30.62805142,377.3728404
Meghalaya,2017, ,23.8,11.6,182,6.5,3.1,354,12.62932572,3.515649786,89.36895275
Mizoram,2017, ,6.3,3.6,60,5.6,3.2,55,5.121042831,4.277480136,72.64753875
Nagaland,2017, ,21.9,12.9,41,1.7,1,375,15.59251559,8.167185953,92.44311989
Odisha,2017, ,25.2,16.6,4790,11.2,7.3,11198,26.15866193,17.98512057,388.383302
Punjab,2017, ,21.2,6.4,4463,15.2,4.5,4218,14.36061555,3.438015696,242.5937713
Rajasthan,2017, ,29.5,14.8,10444,14.1,7,22071,29.85633894,14.4605284,811.2599987
Sikkim,2017, ,29.7,36.2,78,11.9,14.4,479,73.35375191,68.3842827,324.9553406
Tamil Nadu,2017, ,93.6,25.1,16157,23.2,6.2,74571,106.9424925,28.54843045,2851.06019
Telangana,2017, ,NA,22.8,6596,NA,6.7,23990,NA,NA,1872.038773
Tripura,2017, ,12.9,13.1,161,4.2,4.2,718,18.56736488,19.36308262,172.6248245
Uttarakhand,2017, ,14.7,7.5,942,8.8,4.4,1631,15.15658396,7.35028187,225.1453732
Uttar Pradesh,2017, ,17.2,14.8,20124,9.1,7.7,27494,12.41437854,11.29401187,692.9944746
West Bengal,2017, ,12.2,15.6,5769,6.1,7.7,10091,10.69709755,16.11293046,372.5006305
Andaman and Nicobar Islands,2017, ,32.9,15.5,21,3.7,1.7,263,46.71403197,21.38879063,1608.039206
Chandigarh,2017, ,17.6,3.9,107,5.8,1.2,302,16.24529317,3.39832055,1063.528077
Dadra and Nagar Haveli,2017, ,14.8,6,43,9.8,3.9,60,13.72997712,5.92917333,556.1037015
Daman and Diu,2017, ,22,6.8,36,10.5,3.1,70,20.34883721,8.090963083,2205.014767
Delhi,2017,,29.6,6.5,1584,7.2,1.5,6604,30.16075996,5.931743816,3403.362865
